timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-07-10 00:00:00,0.0,20.9,0.08,0.0
2026-07-10 01:00:00,0.0,20.1,0.13,0.0
2026-07-10 02:00:00,0.0,19.6,0.03,0.0
2026-07-10 03:00:00,0.0,18.6,0.18,0.0
2026-07-10 04:00:00,0.0,18.2,0.06,0.0
2026-07-10 05:00:00,0.0,17.1,0.01,1.18
2026-07-10 06:00:00,6.0,16.6,0.0,35.73
2026-07-10 07:00:00,115.0,18.6,0.0,139.09
2026-07-10 08:00:00,305.0,20.7,0.0,194.47
2026-07-10 09:00:00,507.0,22.4,0.0,199.97
2026-07-10 10:00:00,690.0,24.3,0.0,199.97
2026-07-10 11:00:00,842.0,26.0,0.0,199.97
2026-07-10 12:00:00,948.0,27.4,0.0,199.98
2026-07-10 13:00:00,1002.0,28.5,0.0,199.98
2026-07-10 14:00:00,995.0,29.3,0.0,199.98
2026-07-10 15:00:00,930.0,29.7,0.04,199.9
2026-07-10 16:00:00,798.0,29.8,0.02,199.9
2026-07-10 17:00:00,620.0,29.7,0.06,184.63
2026-07-10 18:00:00,435.0,29.1,0.09,102.67
2026-07-10 19:00:00,228.0,28.2,0.09,14.37
2026-07-10 20:00:00,65.0,26.4,0.06,0.0
2026-07-10 21:00:00,0.0,25.3,0.05,0.0
2026-07-10 22:00:00,0.0,24.1,0.02,0.0
2026-07-10 23:00:00,0.0,23.2,0.01,0.0
