timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-01-03 00:00:00,0.0,-7.9,0.06,0.0
2026-01-03 01:00:00,0.0,-7.9,0.03,0.0
2026-01-03 02:00:00,0.0,-7.8,0.0,0.0
2026-01-03 03:00:00,0.0,-7.7,0.0,0.0
2026-01-03 04:00:00,0.0,-7.4,0.0,0.0
2026-01-03 05:00:00,0.0,-7.2,0.0,0.0
2026-01-03 06:00:00,0.0,-6.9,0.0,0.0
2026-01-03 07:00:00,0.0,-6.9,0.0,0.0
2026-01-03 08:00:00,0.0,-6.4,0.0,4.89
2026-01-03 09:00:00,48.0,-4.9,0.0,23.24
2026-01-03 10:00:00,204.0,-0.9,0.0,42.07
2026-01-03 11:00:00,354.0,0.9,0.0,57.7
2026-01-03 12:00:00,461.0,2.4,0.0,93.59
2026-01-03 13:00:00,512.0,3.9,0.0,133.38
2026-01-03 14:00:00,499.0,4.8,0.0,143.48
2026-01-03 15:00:00,425.0,4.6,0.07,140.61
2026-01-03 16:00:00,297.0,4.2,0.07,58.79
2026-01-03 17:00:00,142.0,2.4,0.37,3.1
2026-01-03 18:00:00,15.0,0.5,0.64,0.0
2026-01-03 19:00:00,0.0,0.6,0.86,0.0
2026-01-03 20:00:00,0.0,1.0,0.99,0.0
2026-01-03 21:00:00,0.0,2.0,0.99,0.0
2026-01-03 22:00:00,0.0,1.4,0.09,0.0
2026-01-03 23:00:00,0.0,0.2,0.31,0.0
