timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-05-01 00:00:00,0.0,12.5,0.38,0.0
2026-05-01 01:00:00,0.0,11.9,0.42,0.0
2026-05-01 02:00:00,0.0,11.4,0.76,0.0
2026-05-01 03:00:00,0.0,11.0,0.66,0.0
2026-05-01 04:00:00,0.0,10.9,0.88,0.0
2026-05-01 05:00:00,0.0,10.7,0.18,0.2
2026-05-01 06:00:00,0.0,10.3,0.1,26.6
2026-05-01 07:00:00,67.0,11.7,0.05,103.81
2026-05-01 08:00:00,248.0,13.7,0.05,175.75
2026-05-01 09:00:00,458.0,16.5,0.61,193.73
2026-05-01 10:00:00,650.0,18.7,0.95,194.74
2026-05-01 11:00:00,798.0,19.9,0.17,195.73
2026-05-01 12:00:00,910.0,21.0,0.05,195.59
2026-05-01 13:00:00,946.0,21.7,0.27,193.65
2026-05-01 14:00:00,894.0,22.1,0.13,189.5
2026-05-01 15:00:00,817.0,22.1,0.91,159.56
2026-05-01 16:00:00,663.0,21.6,0.98,47.64
2026-05-01 17:00:00,482.0,21.3,0.94,32.61
2026-05-01 18:00:00,244.0,16.9,0.98,21.42
2026-05-01 19:00:00,90.0,13.5,0.91,0.62
2026-05-01 20:00:00,10.0,12.1,0.57,0.0
2026-05-01 21:00:00,0.0,11.2,0.31,0.0
2026-05-01 22:00:00,0.0,9.9,0.18,0.0
2026-05-01 23:00:00,0.0,9.2,0.23,0.0
