timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2025-04-20 00:00:00,0.0,11.7,0.56,0.0
2025-04-20 01:00:00,0.0,10.9,0.97,0.0
2025-04-20 02:00:00,0.0,10.6,0.98,0.0
2025-04-20 03:00:00,0.0,10.3,0.67,0.0
2025-04-20 04:00:00,0.0,8.9,0.93,0.0
2025-04-20 05:00:00,0.0,9.7,0.65,0.0
2025-04-20 06:00:00,0.0,8.7,0.49,12.77
2025-04-20 07:00:00,41.0,9.3,0.21,110.91
2025-04-20 08:00:00,207.0,11.8,0.46,197.59
2025-04-20 09:00:00,416.0,13.8,0.2,199.98
2025-04-20 10:00:00,612.0,16.1,0.13,199.98
2025-04-20 11:00:00,774.0,18.0,0.02,198.68
2025-04-20 12:00:00,882.0,19.3,0.0,183.5
2025-04-20 13:00:00,932.0,20.4,0.0,196.44
2025-04-20 14:00:00,919.0,21.1,0.02,198.11
2025-04-20 15:00:00,829.0,21.5,0.09,199.99
2025-04-20 16:00:00,696.0,21.7,0.07,199.99
2025-04-20 17:00:00,517.0,21.9,0.14,165.46
2025-04-20 18:00:00,302.0,21.9,0.5,44.73
2025-04-20 19:00:00,92.0,20.4,0.03,1.18
2025-04-20 20:00:00,5.0,17.7,0.01,0.0
2025-04-20 21:00:00,0.0,16.4,0.32,0.0
2025-04-20 22:00:00,0.0,16.0,0.55,0.0
2025-04-20 23:00:00,0.0,15.2,0.27,0.0
