timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2025-12-11 00:00:00,0.0,5.1,1.0,0.0
2025-12-11 01:00:00,0.0,5.1,1.0,0.0
2025-12-11 02:00:00,0.0,5.0,1.0,0.0
2025-12-11 03:00:00,0.0,4.6,1.0,0.0
2025-12-11 04:00:00,0.0,4.9,1.0,0.0
2025-12-11 05:00:00,0.0,4.8,1.0,0.0
2025-12-11 06:00:00,0.0,4.8,1.0,0.0
2025-12-11 07:00:00,0.0,4.6,1.0,0.0
2025-12-11 08:00:00,0.0,4.3,1.0,3.97
2025-12-11 09:00:00,37.0,4.6,0.92,10.52
2025-12-11 10:00:00,161.0,5.8,1.0,22.06
2025-12-11 11:00:00,128.0,6.3,1.0,30.8
2025-12-11 12:00:00,140.0,6.7,0.76,45.51
2025-12-11 13:00:00,243.0,7.2,0.77,41.95
2025-12-11 14:00:00,314.0,7.9,0.81,38.72
2025-12-11 15:00:00,309.0,8.1,0.64,10.1
2025-12-11 16:00:00,212.0,7.7,0.41,6.78
2025-12-11 17:00:00,85.0,6.7,0.57,0.69
2025-12-11 18:00:00,4.0,5.3,0.72,0.0
2025-12-11 19:00:00,0.0,4.3,0.54,0.0
2025-12-11 20:00:00,0.0,3.4,0.26,0.0
2025-12-11 21:00:00,0.0,2.9,0.19,0.0
2025-12-11 22:00:00,0.0,1.9,0.02,0.0
2025-12-11 23:00:00,0.0,1.2,0.02,0.0
