timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2025-01-06 00:00:00,0.0,1.6,0.68,0.0
2025-01-06 01:00:00,0.0,2.0,0.97,0.0
2025-01-06 02:00:00,0.0,1.3,0.6,0.0
2025-01-06 03:00:00,0.0,0.3,1.0,0.0
2025-01-06 04:00:00,0.0,1.1,1.0,0.0
2025-01-06 05:00:00,0.0,1.2,1.0,0.0
2025-01-06 06:00:00,0.0,1.5,1.0,0.0
2025-01-06 07:00:00,0.0,1.5,1.0,0.0
2025-01-06 08:00:00,0.0,1.6,1.0,2.01
2025-01-06 09:00:00,29.0,2.1,1.0,9.86
2025-01-06 10:00:00,102.0,3.1,0.84,17.3
2025-01-06 11:00:00,212.0,4.5,0.3,29.05
2025-01-06 12:00:00,312.0,5.5,0.64,42.39
2025-01-06 13:00:00,407.0,6.4,0.49,56.57
2025-01-06 14:00:00,451.0,6.9,0.31,56.88
2025-01-06 15:00:00,395.0,7.0,0.09,27.34
2025-01-06 16:00:00,236.0,6.3,0.55,34.53
2025-01-06 17:00:00,121.0,5.8,0.33,3.41
2025-01-06 18:00:00,18.0,3.1,0.07,0.0
2025-01-06 19:00:00,0.0,1.6,0.0,0.0
2025-01-06 20:00:00,0.0,0.6,0.0,0.0
2025-01-06 21:00:00,0.0,-0.2,0.0,0.0
2025-01-06 22:00:00,0.0,-0.4,0.0,0.0
2025-01-06 23:00:00,0.0,-0.4,0.0,0.0
