timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-03-21 00:00:00,0.0,5.8,1.0,0.0
2026-03-21 01:00:00,0.0,5.1,1.0,0.0
2026-03-21 02:00:00,0.0,4.3,1.0,0.0
2026-03-21 03:00:00,0.0,4.8,1.0,0.0
2026-03-21 04:00:00,0.0,4.4,1.0,0.0
2026-03-21 05:00:00,0.0,3.8,0.99,0.0
2026-03-21 06:00:00,0.0,3.5,0.4,0.0
2026-03-21 07:00:00,1.0,2.7,0.46,12.15
2026-03-21 08:00:00,75.0,4.0,0.8,50.39
2026-03-21 09:00:00,231.0,5.5,0.61,68.9
2026-03-21 10:00:00,405.0,7.6,0.68,106.67
2026-03-21 11:00:00,614.0,9.8,1.0,126.81
2026-03-21 12:00:00,544.0,10.5,0.84,112.37
2026-03-21 13:00:00,609.0,11.2,0.85,117.39
2026-03-21 14:00:00,633.0,11.9,0.52,120.62
2026-03-21 15:00:00,616.0,10.6,0.91,104.93
2026-03-21 16:00:00,537.0,11.6,0.95,76.09
2026-03-21 17:00:00,378.0,10.7,1.0,29.56
2026-03-21 18:00:00,180.0,9.8,1.0,5.54
2026-03-21 19:00:00,43.0,6.6,1.0,0.0
2026-03-21 20:00:00,0.0,5.7,1.0,0.0
2026-03-21 21:00:00,0.0,5.2,1.0,0.0
2026-03-21 22:00:00,0.0,4.7,1.0,0.0
2026-03-21 23:00:00,0.0,4.6,1.0,0.0
