timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-06-19 00:00:00,0.0,17.3,0.28,0.0
2026-06-19 01:00:00,0.0,16.6,0.17,0.0
2026-06-19 02:00:00,0.0,15.7,0.06,0.0
2026-06-19 03:00:00,0.0,14.8,0.02,0.0
2026-06-19 04:00:00,0.0,13.9,0.02,0.0
2026-06-19 05:00:00,0.0,13.5,0.02,0.21
2026-06-19 06:00:00,12.0,13.5,0.01,5.93
2026-06-19 07:00:00,134.0,14.9,0.21,15.32
2026-06-19 08:00:00,327.0,16.8,0.15,23.55
2026-06-19 09:00:00,486.0,17.9,0.3,68.47
2026-06-19 10:00:00,508.0,19.4,0.55,120.57
2026-06-19 11:00:00,501.0,20.1,0.71,167.44
2026-06-19 12:00:00,751.0,21.3,0.41,99.65
2026-06-19 13:00:00,830.0,22.1,0.16,185.1
2026-06-19 14:00:00,924.0,23.2,0.23,162.75
2026-06-19 15:00:00,859.0,23.9,0.41,150.4
2026-06-19 16:00:00,732.0,24.0,0.34,194.49
2026-06-19 17:00:00,578.0,23.5,0.5,191.75
2026-06-19 18:00:00,407.0,22.5,0.44,138.72
2026-06-19 19:00:00,223.0,21.9,0.8,14.14
2026-06-19 20:00:00,58.0,20.3,0.61,0.0
2026-06-19 21:00:00,0.0,17.4,1.0,0.0
2026-06-19 22:00:00,0.0,16.3,0.95,0.0
2026-06-19 23:00:00,0.0,16.4,0.98,0.0
