timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-05-07 00:00:00,0.0,6.8,0.06,0.0
2026-05-07 01:00:00,0.0,6.4,0.02,0.0
2026-05-07 02:00:00,0.0,5.9,0.02,0.0
2026-05-07 03:00:00,0.0,6.6,0.12,0.0
2026-05-07 04:00:00,0.0,6.1,0.05,0.0
2026-05-07 05:00:00,0.0,5.6,0.05,0.52
2026-05-07 06:00:00,1.0,5.1,0.05,32.58
2026-05-07 07:00:00,83.0,7.0,0.19,149.87
2026-05-07 08:00:00,240.0,9.7,0.07,199.96
2026-05-07 09:00:00,469.0,11.7,0.1,199.96
2026-05-07 10:00:00,655.0,13.8,0.02,199.96
2026-05-07 11:00:00,730.0,15.0,0.35,172.32
2026-05-07 12:00:00,536.0,15.1,0.32,143.92
2026-05-07 13:00:00,565.0,15.7,0.51,169.49
2026-05-07 14:00:00,567.0,16.2,0.59,179.18
2026-05-07 15:00:00,649.0,17.1,0.91,185.1
2026-05-07 16:00:00,632.0,17.6,0.45,167.38
2026-05-07 17:00:00,513.0,17.1,0.0,178.42
2026-05-07 18:00:00,308.0,16.8,0.05,70.33
2026-05-07 19:00:00,137.0,14.9,0.0,4.13
2026-05-07 20:00:00,18.0,11.6,0.0,0.0
2026-05-07 21:00:00,0.0,11.3,0.06,0.0
2026-05-07 22:00:00,0.0,9.8,0.0,0.0
2026-05-07 23:00:00,0.0,9.4,0.0,0.0
