timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-06-03 00:00:00,0.0,16.7,0.16,0.0
2026-06-03 01:00:00,0.0,15.9,0.27,0.0
2026-06-03 02:00:00,0.0,15.6,0.31,0.0
2026-06-03 03:00:00,0.0,15.1,0.95,0.0
2026-06-03 04:00:00,0.0,14.7,0.62,0.0
2026-06-03 05:00:00,0.0,14.6,0.41,3.15
2026-06-03 06:00:00,11.0,14.9,0.43,36.91
2026-06-03 07:00:00,129.0,16.6,0.09,124.22
2026-06-03 08:00:00,327.0,18.7,0.01,199.97
2026-06-03 09:00:00,530.0,20.2,0.0,199.98
2026-06-03 10:00:00,713.0,21.9,0.0,199.97
2026-06-03 11:00:00,863.0,23.5,0.04,199.97
2026-06-03 12:00:00,911.0,24.8,0.04,199.97
2026-06-03 13:00:00,949.0,25.8,0.2,199.97
2026-06-03 14:00:00,936.0,26.3,0.22,199.97
2026-06-03 15:00:00,890.0,27.2,0.02,199.98
2026-06-03 16:00:00,761.0,27.1,0.03,199.98
2026-06-03 17:00:00,606.0,27.3,0.16,186.76
2026-06-03 18:00:00,329.0,26.7,0.23,105.17
2026-06-03 19:00:00,185.0,25.8,0.18,14.73
2026-06-03 20:00:00,48.0,22.9,0.11,0.0
2026-06-03 21:00:00,0.0,21.5,0.1,0.0
2026-06-03 22:00:00,0.0,20.0,0.15,0.0
2026-06-03 23:00:00,0.0,19.4,0.27,0.0
