timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-04-05 00:00:00,0.0,5.9,0.23,0.0
2026-04-05 01:00:00,0.0,5.3,0.37,0.0
2026-04-05 02:00:00,0.0,5.1,0.05,0.0
2026-04-05 03:00:00,0.0,5.2,0.56,0.0
2026-04-05 04:00:00,0.0,4.5,0.6,0.0
2026-04-05 05:00:00,0.0,4.8,0.59,0.0
2026-04-05 06:00:00,0.0,4.2,0.54,1.01
2026-04-05 07:00:00,11.0,4.4,0.28,15.49
2026-04-05 08:00:00,137.0,6.7,0.17,37.94
2026-04-05 09:00:00,343.0,8.6,0.18,73.02
2026-04-05 10:00:00,521.0,10.9,0.66,85.2
2026-04-05 11:00:00,607.0,12.1,0.95,93.19
2026-04-05 12:00:00,730.0,13.4,1.0,194.73
2026-04-05 13:00:00,805.0,14.6,1.0,156.97
2026-04-05 14:00:00,696.0,15.1,1.0,163.95
2026-04-05 15:00:00,580.0,13.1,0.88,68.15
2026-04-05 16:00:00,528.0,13.7,0.94,97.98
2026-04-05 17:00:00,350.0,11.0,0.96,3.35
2026-04-05 18:00:00,159.0,10.4,0.95,0.55
2026-04-05 19:00:00,33.0,8.8,0.99,0.0
2026-04-05 20:00:00,0.0,8.1,0.99,0.0
2026-04-05 21:00:00,0.0,7.1,1.0,0.0
2026-04-05 22:00:00,0.0,6.5,1.0,0.0
2026-04-05 23:00:00,0.0,6.5,1.0,0.0
