timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-04-29 00:00:00,0.0,12.7,0.0,0.0
2026-04-29 01:00:00,0.0,11.8,0.0,0.0
2026-04-29 02:00:00,0.0,10.9,0.0,0.0
2026-04-29 03:00:00,0.0,9.4,0.0,0.0
2026-04-29 04:00:00,0.0,8.3,0.0,0.0
2026-04-29 05:00:00,0.0,7.4,0.0,0.0
2026-04-29 06:00:00,0.0,6.8,0.0,21.84
2026-04-29 07:00:00,63.0,8.4,0.0,132.88
2026-04-29 08:00:00,242.0,11.3,0.0,199.85
2026-04-29 09:00:00,449.0,13.5,0.0,199.96
2026-04-29 10:00:00,642.0,15.9,0.0,199.91
2026-04-29 11:00:00,797.0,17.8,0.0,199.96
2026-04-29 12:00:00,883.0,19.1,0.27,199.96
2026-04-29 13:00:00,839.0,19.7,0.18,199.96
2026-04-29 14:00:00,887.0,20.7,0.09,199.96
2026-04-29 15:00:00,850.0,21.0,0.01,199.91
2026-04-29 16:00:00,715.0,21.3,0.1,194.53
2026-04-29 17:00:00,535.0,20.8,0.02,170.55
2026-04-29 18:00:00,329.0,20.0,0.22,56.5
2026-04-29 19:00:00,126.0,18.2,0.01,2.55
2026-04-29 20:00:00,10.0,16.5,0.02,0.0
2026-04-29 21:00:00,0.0,15.7,0.07,0.0
2026-04-29 22:00:00,0.0,14.7,0.08,0.0
2026-04-29 23:00:00,0.0,12.3,0.0,0.0
