timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2025-03-10 00:00:00,0.0,5.5,0.52,0.0
2025-03-10 01:00:00,0.0,4.6,0.14,0.0
2025-03-10 02:00:00,0.0,4.5,0.01,0.0
2025-03-10 03:00:00,0.0,4.2,0.16,0.0
2025-03-10 04:00:00,0.0,4.1,0.05,0.0
2025-03-10 05:00:00,0.0,3.9,0.12,0.0
2025-03-10 06:00:00,0.0,4.0,0.47,0.0
2025-03-10 07:00:00,0.0,3.8,0.52,16.35
2025-03-10 08:00:00,41.0,5.1,0.61,118.53
2025-03-10 09:00:00,198.0,8.0,0.44,199.1
2025-03-10 10:00:00,407.0,10.4,0.45,199.59
2025-03-10 11:00:00,586.0,12.7,0.45,199.78
2025-03-10 12:00:00,712.0,14.5,0.27,195.45
2025-03-10 13:00:00,774.0,15.8,0.12,173.65
2025-03-10 14:00:00,770.0,16.8,0.08,175.36
2025-03-10 15:00:00,700.0,17.3,0.0,199.98
2025-03-10 16:00:00,546.0,17.8,0.07,141.07
2025-03-10 17:00:00,335.0,17.1,0.17,100.13
2025-03-10 18:00:00,158.0,14.8,0.2,7.37
2025-03-10 19:00:00,29.0,12.4,0.02,0.0
2025-03-10 20:00:00,0.0,11.5,0.0,0.0
2025-03-10 21:00:00,0.0,10.5,0.0,0.0
2025-03-10 22:00:00,0.0,9.5,0.01,0.0
2025-03-10 23:00:00,0.0,8.9,0.0,0.0
