timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-09-24 00:00:00,0.0,14.9,0.21,0.0
2026-09-24 01:00:00,0.0,14.0,0.26,0.0
2026-09-24 02:00:00,0.0,13.7,0.14,0.0
2026-09-24 03:00:00,0.0,12.3,0.16,0.0
2026-09-24 04:00:00,0.0,11.8,0.98,0.0
2026-09-24 05:00:00,0.0,12.3,0.99,0.0
2026-09-24 06:00:00,0.0,12.3,0.69,0.0
2026-09-24 07:00:00,3.0,12.3,0.84,3.62
2026-09-24 08:00:00,82.0,12.6,0.4,25.44
2026-09-24 09:00:00,250.0,12.1,1.0,22.94
2026-09-24 10:00:00,315.0,13.8,0.9,36.81
2026-09-24 11:00:00,452.0,15.3,0.14,98.09
2026-09-24 12:00:00,677.0,17.5,0.09,180.02
2026-09-24 13:00:00,725.0,19.0,0.07,173.53
2026-09-24 14:00:00,742.0,19.4,0.0,177.11
2026-09-24 15:00:00,677.0,17.9,0.05,175.91
2026-09-24 16:00:00,523.0,17.9,0.15,158.42
2026-09-24 17:00:00,357.0,16.9,0.05,76.06
2026-09-24 18:00:00,173.0,15.7,0.05,5.54
2026-09-24 19:00:00,19.0,14.4,0.14,0.0
2026-09-24 20:00:00,0.0,13.7,0.4,0.0
2026-09-24 21:00:00,0.0,12.8,0.32,0.0
2026-09-24 22:00:00,0.0,12.3,0.99,0.0
2026-09-24 23:00:00,0.0,12.2,1.0,0.0
