timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-03-20 00:00:00,0.0,6.2,0.98,0.0
2026-03-20 01:00:00,0.0,6.4,1.0,0.0
2026-03-20 02:00:00,0.0,6.0,1.0,0.0
2026-03-20 03:00:00,0.0,5.5,1.0,0.0
2026-03-20 04:00:00,0.0,4.6,1.0,0.0
2026-03-20 05:00:00,0.0,4.3,0.56,0.0
2026-03-20 06:00:00,0.0,3.3,0.1,0.0
2026-03-20 07:00:00,0.0,3.1,0.73,7.07
2026-03-20 08:00:00,57.0,4.5,1.0,18.38
2026-03-20 09:00:00,125.0,5.4,1.0,25.43
2026-03-20 10:00:00,215.0,7.1,1.0,46.99
2026-03-20 11:00:00,418.0,9.2,0.52,91.11
2026-03-20 12:00:00,628.0,11.0,0.4,133.54
2026-03-20 13:00:00,647.0,12.4,0.4,90.14
2026-03-20 14:00:00,685.0,13.1,0.32,50.95
2026-03-20 15:00:00,507.0,11.9,0.89,45.2
2026-03-20 16:00:00,488.0,12.8,0.93,27.73
2026-03-20 17:00:00,227.0,8.1,1.0,9.68
2026-03-20 18:00:00,115.0,8.8,0.98,1.98
2026-03-20 19:00:00,39.0,7.2,0.55,0.0
2026-03-20 20:00:00,0.0,6.0,1.0,0.0
2026-03-20 21:00:00,0.0,6.2,1.0,0.0
2026-03-20 22:00:00,0.0,6.8,1.0,0.0
2026-03-20 23:00:00,0.0,6.2,1.0,0.0
