timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2025-08-17 00:00:00,0.0,21.6,0.0,0.0
2025-08-17 01:00:00,0.0,20.1,0.0,0.0
2025-08-17 02:00:00,0.0,18.9,0.0,0.0
2025-08-17 03:00:00,0.0,17.9,0.0,0.0
2025-08-17 04:00:00,0.0,17.3,0.0,0.0
2025-08-17 05:00:00,0.0,16.6,0.0,0.0
2025-08-17 06:00:00,0.0,16.0,0.0,12.46
2025-08-17 07:00:00,44.0,16.8,0.0,105.47
2025-08-17 08:00:00,215.0,18.9,0.0,196.74
2025-08-17 09:00:00,423.0,21.1,0.0,199.98
2025-08-17 10:00:00,620.0,23.5,0.0,199.98
2025-08-17 11:00:00,782.0,26.0,0.0,199.98
2025-08-17 12:00:00,893.0,28.3,0.0,199.98
2025-08-17 13:00:00,946.0,30.1,0.0,199.98
2025-08-17 14:00:00,936.0,31.5,0.0,199.97
2025-08-17 15:00:00,862.0,32.4,0.0,199.98
2025-08-17 16:00:00,732.0,32.1,0.0,199.98
2025-08-17 17:00:00,558.0,32.1,0.0,171.96
2025-08-17 18:00:00,353.0,31.4,0.0,57.52
2025-08-17 19:00:00,147.0,28.4,0.02,2.13
2025-08-17 20:00:00,13.0,25.8,0.0,0.0
2025-08-17 21:00:00,0.0,25.0,0.0,0.0
2025-08-17 22:00:00,0.0,24.4,0.0,0.0
2025-08-17 23:00:00,0.0,23.3,0.0,0.0
