timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2026-08-14 00:00:00,0.0,22.7,0.04,0.0
2026-08-14 01:00:00,0.0,21.6,0.12,0.0
2026-08-14 02:00:00,0.0,20.7,0.18,0.0
2026-08-14 03:00:00,0.0,19.7,0.02,0.0
2026-08-14 04:00:00,0.0,18.9,0.0,0.0
2026-08-14 05:00:00,0.0,18.1,0.0,0.0
2026-08-14 06:00:00,0.0,17.5,0.0,7.33
2026-08-14 07:00:00,52.0,17.7,0.0,53.0
2026-08-14 08:00:00,228.0,18.9,0.0,74.67
2026-08-14 09:00:00,434.0,20.4,0.02,184.05
2026-08-14 10:00:00,624.0,22.3,0.0,199.9
2026-08-14 11:00:00,784.0,24.1,0.01,199.9
2026-08-14 12:00:00,893.0,25.8,0.01,199.9
2026-08-14 13:00:00,944.0,27.4,0.02,199.44
2026-08-14 14:00:00,934.0,28.6,0.05,199.9
2026-08-14 15:00:00,860.0,28.5,0.02,193.46
2026-08-14 16:00:00,731.0,28.6,0.52,150.6
2026-08-14 17:00:00,524.0,28.4,0.98,163.9
2026-08-14 18:00:00,236.0,27.7,0.94,67.98
2026-08-14 19:00:00,79.0,26.9,0.97,5.41
2026-08-14 20:00:00,11.0,25.9,0.59,0.0
2026-08-14 21:00:00,0.0,23.8,0.2,0.0
2026-08-14 22:00:00,0.0,22.7,0.05,0.0
2026-08-14 23:00:00,0.0,21.1,0.01,0.0
