timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2025-12-25 00:00:00,0.0,4.1,1.0,0.0
2025-12-25 01:00:00,0.0,3.7,0.99,0.0
2025-12-25 02:00:00,0.0,3.5,1.0,0.0
2025-12-25 03:00:00,0.0,3.4,1.0,0.0
2025-12-25 04:00:00,0.0,3.0,0.99,0.0
2025-12-25 05:00:00,0.0,2.7,0.98,0.0
2025-12-25 06:00:00,0.0,2.2,1.0,0.0
2025-12-25 07:00:00,0.0,1.1,1.0,0.0
2025-12-25 08:00:00,0.0,0.0,0.95,2.43
2025-12-25 09:00:00,41.0,1.3,0.98,16.14
2025-12-25 10:00:00,167.0,3.6,0.91,48.13
2025-12-25 11:00:00,321.0,6.0,0.84,38.4
2025-12-25 12:00:00,403.0,7.9,0.97,63.25
2025-12-25 13:00:00,426.0,9.0,1.0,44.0
2025-12-25 14:00:00,351.0,9.3,1.0,23.91
2025-12-25 15:00:00,268.0,8.0,1.0,16.13
2025-12-25 16:00:00,135.0,8.2,1.0,25.72
2025-12-25 17:00:00,64.0,7.1,1.0,4.41
2025-12-25 18:00:00,7.0,5.3,1.0,0.0
2025-12-25 19:00:00,0.0,4.1,0.52,0.0
2025-12-25 20:00:00,0.0,2.9,0.74,0.0
2025-12-25 21:00:00,0.0,2.6,0.95,0.0
2025-12-25 22:00:00,0.0,2.7,0.91,0.0
2025-12-25 23:00:00,0.0,2.3,1.0,0.0
