timestamp,ghi_forecast,temp_c,cloud_cover,production_mwh
2025-04-18 00:00:00,0.0,11.1,0.0,0.0
2025-04-18 01:00:00,0.0,11.0,0.0,0.0
2025-04-18 02:00:00,0.0,9.9,0.0,0.0
2025-04-18 03:00:00,0.0,8.4,0.0,0.0
2025-04-18 04:00:00,0.0,7.3,0.0,0.0
2025-04-18 05:00:00,0.0,6.7,0.19,0.0
2025-04-18 06:00:00,0.0,6.1,0.02,12.33
2025-04-18 07:00:00,36.0,7.3,0.0,104.82
2025-04-18 08:00:00,201.0,11.6,0.01,197.35
2025-04-18 09:00:00,408.0,15.0,0.04,199.99
2025-04-18 10:00:00,604.0,17.6,0.03,199.99
2025-04-18 11:00:00,766.0,19.6,0.01,199.99
2025-04-18 12:00:00,876.0,21.1,0.13,199.99
2025-04-18 13:00:00,925.0,22.3,0.03,199.99
2025-04-18 14:00:00,908.0,23.2,0.0,199.99
2025-04-18 15:00:00,830.0,23.7,0.0,199.98
2025-04-18 16:00:00,694.0,24.0,0.0,199.95
2025-04-18 17:00:00,512.0,23.6,0.06,158.88
2025-04-18 18:00:00,306.0,22.7,0.05,37.83
2025-04-18 19:00:00,108.0,18.7,0.05,1.13
2025-04-18 20:00:00,5.0,16.8,0.36,0.0
2025-04-18 21:00:00,0.0,16.7,0.42,0.0
2025-04-18 22:00:00,0.0,15.5,0.57,0.0
2025-04-18 23:00:00,0.0,13.6,0.49,0.0
